id,classification_predictions,regression_predictions
000eb12def5371089743dcfe401a8e399f5883fc,0,30.0
0010e112a8aaadba9b9407b781a98d8dee639082,0,30.0
0017ba314c74d87184e778b50b34173c4c8810dc,0,10.0
00f6286b510a8800e1086cf12950f3a4d7d92c3d,0,30.0
012bdaabb8b3954bf9cf646b38e9221f1bd01bcc,0,30.0
012d0445b053d6a00012f4a2e526162770981807,0,30.0
012dd5059edc0b1138c7f240e6d00f850fd90abd,0,30.0
015444859cf67e2c8e2e39f233cdda411700812b,0,10.0
015eaa243a29550bc5e6909546e48bd8425649f3,0,3.0
016dee5fa181cf9ddf0f449f4f50b2f606273963,0,30.0
01aa11b35f2880c88ebfdb1d5543015063d69be9,0,10.0
01d0ca4b87f60f0b78b6f2d26417feea4f17feba,0,10.0
01e4932467dcf7c52873c42efcc63b22e435c858,0,30.0
023cc5c20866fd24e9bfe93a9d3f636d90f2fadf,0,30.0
023fc2d95571089eda69ee05c02b5c2ecda2e3ec,0,30.0
024bf7f6d938750ab160cd538a9ccc7ccfea2888,0,30.0
0297018bd8c2ab6299c18b1a7e6947ed33b6d9c5,0,10.0
0299810cf1ef0c42d3f8635df429172bcd673d8d,0,30.0
02ab7b7386a2745804f466743ebdcc4bde8320ce,0,30.0
02bcd283893e5a486851a535afa24c259bc49d0b,0,30.0
02d4a828f6287717c2310648702a9a6f70b7a56d,0,10.0
034de321b3f3f287bb9848bc4d3f7d12f4a79256,0,30.0
035aad9f84e6ac3f706554eb7b53ab2e881742d9,0,10.0
038941ef26461adceb6cf19113a154542f6ca27a,0,30.0
03ac3032a05208a6af4055fddac3f054869e75a6,0,10.0
0428026f257a20659574a217766b2c747d8a6dac,0,10.0
044fac1ca0d20bb232f797208e95033271ab79b4,0,30.0
045f0eb33ecb753ac0f7ad8f7d3f1ad779729e43,0,30.0
04a090283396105fa2e261956552aa7eb440516b,0,30.0
04c46888e7fddfa992f308ee57db8919f7fa378e,0,30.0
04db3331c27985b347fd99a5619445bbad197afb,0,30.0
04df6b6af91bf53efb482b5db4bfc780156fd09b,0,30.0
04fcbf7b8c1e3c07fddc543e1ba24a15414507d0,0,30.0
0506be3868a6310774137852342902201d39bbf2,0,10.0
051a96aed8dbb1a155544c6df646530365e30b89,0,30.0
052158841a9f779840f7013273462b716e33f7e8,0,3.0
05248478fd238a623998947fb53a8eb4e8e575d4,0,30.0
052767f724c15b140fa23db8264e29a9f324420b,0,30.0
057449afb83007990610ba996818bbd9c4e5ea91,0,10.0
05b2f2ad6ed87b1e77a6dcf192b9b42cb3cefeaa,0,10.0
05dd9b673c21bb61340349c71e08ab313e2d536e,0,30.0
05ede60e4886e743d8bdbabb9f4ed7797c5f976f,0,10.0
05fc8d74765eabfe5aca25464f6a3f7bad9d7a12,0,30.0
0638883493468321cb576abfb577f8f59ec1c2a6,0,30.0
065a0b62a05da6ba4525732524091d675534708e,0,30.0
0663855c402b42945720f593b807396338541f94,0,30.0
06ba2d89056cbbea8bbe979f7dcb6e5085d7a8e5,0,30.0
06ccb6f6e3c7ee3ff010ca2160350323c8ae222c,0,30.0
0708b9d249dbe5eda80ee585d9d2596e6d82a64b,0,10.0
072009ff9ad09e23b4fae5f59146eb9f2c02a557,0,10.0
0735f43552ef81d45a5476edddcc08f50556b9b7,0,3.0
074814d67eff3787aa7896a3dab5795f293e44b5,0,3.0
079a034c3a9e990df61751fb76e14a7530d4f4ff,0,3.0
07d07cb77690518f977d47bc433fa8f27c92166b,0,30.0
07e4d4ae625f387c1d7095d68a3b55b6760141b8,0,10.0
07eda2232d82e450335c74bd383a4980f28fd493,0,3.0
0854705d1acbeb4f5b04ae6bbb6246d6f601b308,0,30.0
08f09649f2008da6f474f6beb59bd8974b5d2182,0,30.0
092a9260dc1ae4fb3858f54b6dc118f8b072cab5,0,30.0
092f3cff5331e093dcbf4b56f0f46b730c035ffc,0,30.0
095de61d49a75e669151b27f85c4b379ea4a8c74,0,30.0
09cc3e798255ed7cb3cd9e5cf2d7fa881330eb2c,0,10.0
09e87036eeccdec592d521d261c721303ba43307,0,10.0
0a21aefaed1f2f211056ca189927fcecb05c9b18,0,30.0
0a2413904fc5746c7bc8613705f173dc67cb1d7b,0,10.0
0a27daf59dd5619654197777a24d58a4613d5fec,0,30.0
0a3fedf0a8274d7767033b531fe56ae4d5480e73,0,30.0
0a4cb46ab7b97a2eba4f839352e5304b825c6d06,0,30.0
0a5a66b01e06ddefbf298d8691c973e1a6e5d586,0,30.0
0a5ef7811730aecc87e8106b5768c2fc42ee97a2,0,10.0
0ab317340f7ae7f155e5c9f470f2cdb0bc01af1d,0,30.0
0ad919ade4053551b4ce63e9754d5993b0306884,0,30.0
0af5f948a118389f6e78dc4aaf00e8f13c86e90c,0,30.0
0bc0949168716ceca9af4a225fe4bcacda0be31f,0,30.0
0bca4a74350c836a59f5e2efc0438105ed62682f,0,10.0
0bd67fb770a98a31f164c135178c0c376564be95,0,3.0
0bf3d47f9b247e4b03f6bf57b08a24aae7b74e5f,0,30.0
0c29cff5855edbf547e1adb3181f69cce02ad76e,0,10.0
0c8b602ad54a8fc3ad1db7f86203005f729b7fd1,0,10.0
0c92376652239c158eb4c8920d5529bb0d7fd5ed,0,30.0
0c9c6601897abbc3565cd16e9760ad0cc7d1ff35,0,30.0
0ca450513a25c52c7f3540f2aad6c24687ec8461,0,30.0
0ca7362e41397b2f64ce2c7cd7853acda66c8774,0,30.0
0ccd9db71e9cef5eea615b77bf1d359938b13a0c,0,3.0
0cff2bd29f77593e7bb577b5e0efe5a749ce14dd,0,30.0
0da970ef3c66312625461a41b99c0f6a6edca410,0,10.0
0db313278e342687e180c4042268c964adfdda2e,0,10.0
0dcb2b716325e088af85b3f036104732137dc795,0,30.0
0dcf254fdfdbe611e1331836443b426888dbe382,0,30.0
0dcfe1b344833eb4cc98a34180f66e4da498169a,0,10.0
0dfce1eb90b3cf46c9f61cb97047016e7d82653c,0,10.0
0e082b6a6036e9086713e596c8271ec1f7d71439,0,30.0
0e2e47b225e42d38eecd048629aed4f503d625bc,0,30.0
0e594be9ae10d712d0f07fe76b5e6c4c806a5eab,0,3.0
0e84344d5478c18fb0e411dcadb87b0ea9bc7836,0,30.0
0eb6fc5cfe05474605a8920701dc9bf0b82584a3,0,30.0
0ecb6426d1a6cd8cde95820eb2d0cfe841dbb9de,0,30.0
0f27fc3926daf65349c9bc1d80ae9c1a5d9c3a29,0,30.0
0f42b13207bee43c31d9fad28e951299b80913f9,0,30.0
0f6dd2f64883bc7b7b28c65560c76b3d7fcc5c12,0,30.0
0f8919f5003a2ede2468272dab492e658430c5f1,0,10.0
0f8b79c643e9de719f1f958020cdede27758e096,0,30.0
0fa7791cbc971f8f067171a65d49c61032cfa43f,0,10.0
0fb55ee1c8ca47bf76326c351852040c42c35086,0,10.0
